POLY_,POLY_ID,AREA,PERIMETER,OPPR,X,Y,KOORDH,POSTNAVN,OPPDATDATO,MALEMETODE,NOYAKTIGHE,SYNBARHET,H_MALEMETO,H_NOYAKTIG,MAX_AVVIK,OBJTYPE,POSTNR,KOMM,ID,Lat,Long
1006,4946,879811.00328,5213.69301,4,-33557.98000,6574636.27000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4025,1103,1,59.28772,5.11688
1007,4951,3262090.66226,11583.51641,4,-34378.11000,6577051.90000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4029,1103,1,59.28772,5.11688
1008,4955,1148205.58777,6950.61329,4,-32642.86000,6574404.65000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4007,1103,1,59.28772,5.11688
1009,4957,3768742.96260,9093.49496,4,-30115.59000,6576027.32000,0.00000,HUNDV�G,,0,0,0,0,0,0,Postomr�de,4085,1103,1,59.28772,5.11688
1010,4961,8231843.98268,19055.80527,4,-32884.46000,6567979.03000,16.32000,STAVANGER,,82,0,0,0,0,0,Postomr�de,4020,1103,1,59.28772,5.11688
1011,4968,494367366.61922,127886.97871,4,7924.62000,6589883.61000,0.00000,�RDAL I RYFYLKE,,55,1500,0,0,0,0,Postomr�de,4137,1133,1,59.28772,5.11688
1012,4971,11048322.77518,14169.05742,4,-25524.22000,6585413.08000,0.00000,BRIMSE,,82,0,0,0,0,0,Postomr�de,4153,1142,1,59.28772,5.11688
1013,4976,26966160.91675,35924.85507,4,-26250.52000,6575441.05000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4013,1103,1,59.28772,5.11688
1014,4980,153880761.63861,56092.05077,4,-15772.30000,6582103.01000,0.00000,TAU,,55,1500,0,0,0,0,Postomr�de,4120,1130,1,59.28772,5.11688
1015,4982,16841575.30734,16295.87503,4,-25144.60000,6581353.22000,0.00000,S�R-HIDLE,,82,0,0,0,0,0,Postomr�de,4123,1130,1,59.28772,5.11688
1016,4984,2784295.63959,13603.29887,4,-37278.44000,6572987.53000,0.00000,HAFRSFJORD,,0,0,0,0,0,0,Postomr�de,4043,1103,1,59.28772,5.11688
1017,4985,1510972.71448,5120.25553,4,-38316.14000,6573112.58000,0.00000,HAFRSFJORD,,0,0,0,0,0,0,Postomr�de,4046,1103,1,59.28772,5.11688
1018,4988,57273806.81657,46897.48215,4,-25398.92000,6565821.90000,0.00000,HOMMERS�K,,55,1500,0,0,0,0,Postomr�de,4311,1102,1,59.28772,5.11688
1019,4989,6135417.71132,12966.67512,4,-30279.62000,6572208.71000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4015,1103,1,59.28772,5.11688
1020,4990,1910433.90167,7184.68302,4,-34841.93000,6566046.87000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4033,1103,1,59.28772,5.11688
1021,4996,110118104.53172,42872.11620,4,-12428.32000,6604849.73000,0.00000,OMBO,,55,1500,0,0,0,0,Postomr�de,4187,1141,1,59.28772,5.11688
1022,5003,55050157.34383,35536.50007,4,-195.88000,6605577.63000,0.00000,SKIFTUN,,55,1500,0,0,0,0,Postomr�de,4146,1133,1,59.28772,5.11688
1025,5021,21957159.74500,19119.44433,4,-13911.98000,6610832.69000,0.00000,FOLD�Y,,82,0,0,0,0,0,Postomr�de,4198,1134,1,59.28772,5.11688
1026,5028,125463901.01445,49093.67451,4,4582.88000,6612711.89000,0.00000,ERFJORD,,82,0,0,0,0,0,Postomr�de,4233,1134,1,59.28772,5.11688
1027,5030,97043966.25946,46436.70075,4,-5525.43000,6614171.98000,0.00000,JELSA,,82,0,0,0,0,0,Postomr�de,4234,1134,1,59.28772,5.11688
1028,5034,47457345.39725,40874.64787,4,-48258.78000,6614254.38000,0.00000,R�YKSUND,,55,1500,0,0,0,0,Postomr�de,5546,1149,1,59.28772,5.11688
1029,5039,49749758.46100,33629.17807,4,-34025.60000,6616764.41000,0.00000,HERVIK,,55,1500,0,0,0,0,Postomr�de,5566,1146,1,59.28772,5.11688
1030,5044,46080339.15891,38456.91231,4,-43181.23000,6622732.75000,158.00000,F�RRESFJORDEN,,55,1500,0,0,0,0,Postomr�de,5563,1146,1,59.28772,5.11688
1031,5053,80716735.08719,49658.52164,4,-30051.49000,6624085.49000,0.21000,SKJOLDASTRAUMEN,,55,1500,0,0,0,0,Postomr�de,5567,1146,1,59.28772,5.11688
1032,5060,146333105.55713,77794.59029,4,-38993.86000,6621476.54000,0.00000,AKSDAL,,55,1500,0,0,0,0,Postomr�de,5570,1146,1,59.28772,5.11688
1033,5062,64886036.21103,37083.03054,4,-37369.62000,6611275.87000,0.00000,TYSV�RV�G,,55,1500,0,0,0,0,Postomr�de,5565,1146,1,59.28772,5.11688
